#Path: /HepData/8872/d3-x1-y1
#Centrality dependence of the charged particle pseudorapidity distribution measured in several centrality intervals for charged particles with $p_{T} > 0$ GeV. The first uncertainty is statistical the #second systematic
#Location: Figure 7 right
#$\sqrt{s_{_{\text{NN}}}}$ in GeV : 5020.0
#$p_{T}$ in GeV above : 0.0
#x : $\eta$
#y : $dN_{ch}/d\eta$ in (60-90)% : $dN_{ch}/d\eta$ in (40-60)% : $dN_{ch}/d\eta$ in (30-40)% : $dN_{ch}/d\eta$ in (20-30)% : $dN_{ch}/d\eta$ in (10-20)% : $dN_{ch}/d\eta$ in (5-10)% : $dN_{ch}/d\eta$ in (1-5)% : $dN_{ch}/d\eta$ in (0-1)%
#xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	-0.45	-0.5	-0.4	8.375	+0.089	-0.089	+0.483	-0.483	16.599	+0.126	-0.126	+0.622	-0.622	22.199	+0.186	-0.186	+0.718	-0.718	26.64	+0.22	-0.22	+0.768	-0.768	32.394	+0.266	-0.266	+0.934	-0.934	39.001	+0.347	-0.347	+1.087	-1.087	46.5	+0.487	-0.487	+1.294	-1.294	59.145	+0.511	-0.511	+1.8	-1.8
	-0.35	-0.4	-0.3	8.308	+0.089	-0.089	+0.479	-0.479	16.404	+0.124	-0.124	+0.616	-0.616	22.062	+0.185	-0.185	+0.717	-0.717	26.236	+0.216	-0.216	+0.761	-0.761	32.008	+0.264	-0.264	+0.929	-0.929	38.332	+0.343	-0.343	+1.076	-1.076	45.807	+0.48	-0.48	+1.284	-1.284	58.71	+0.51	-0.51	+1.798	-1.798
	-0.25	-0.3	-0.2	8.325	+0.09	-0.09	+0.477	-0.477	16.29	+0.124	-0.124	+0.602	-0.602	21.765	+0.184	-0.184	+0.691	-0.691	26.064	+0.216	-0.216	+0.736	-0.736	31.564	+0.26	-0.26	+0.891	-0.891	37.806	+0.339	-0.339	+1.031	-1.031	45.057	+0.476	-0.476	+1.226	-1.226	57.403	+0.501	-0.501	+1.704	-1.704
	-0.15000000000000002	-0.2	-0.1	8.285	+0.09	-0.09	+0.473	-0.473	16.246	+0.124	-0.124	+0.596	-0.596	21.624	+0.183	-0.183	+0.682	-0.682	25.878	+0.215	-0.215	+0.724	-0.724	31.321	+0.26	-0.26	+0.876	-0.876	37.261	+0.334	-0.334	+1.006	-1.006	44.566	+0.472	-0.472	+1.201	-1.201	56.947	+0.499	-0.499	+1.673	-1.673
	-0.05	-0.1	0.0	8.253	+0.09	-0.09	+0.471	-0.471	16.127	+0.123	-0.123	+0.594	-0.594	21.528	+0.182	-0.182	+0.682	-0.682	25.661	+0.214	-0.214	+0.722	-0.722	30.884	+0.256	-0.256	+0.868	-0.868	36.838	+0.332	-0.332	+1.001	-1.001	44.065	+0.467	-0.467	+1.194	-1.194	55.909	+0.494	-0.494	+1.651	-1.651
	0.05	0.0	0.1	8.214	+0.089	-0.089	+0.467	-0.467	16.125	+0.124	-0.124	+0.588	-0.588	21.304	+0.181	-0.181	+0.665	-0.665	25.43	+0.213	-0.213	+0.703	-0.703	30.986	+0.257	-0.257	+0.856	-0.856	36.932	+0.333	-0.333	+0.985	-0.985	43.732	+0.465	-0.465	+1.163	-1.163	55.101	+0.49	-0.49	+1.597	-1.597
	0.15000000000000002	0.1	0.2	8.284	+0.09	-0.09	+0.473	-0.473	16.062	+0.123	-0.123	+0.592	-0.592	21.475	+0.183	-0.183	+0.68	-0.68	25.486	+0.213	-0.213	+0.717	-0.717	30.761	+0.256	-0.256	+0.865	-0.865	36.576	+0.33	-0.33	+0.994	-0.994	43.334	+0.461	-0.461	+1.175	-1.175	54.628	+0.485	-0.485	+1.615	-1.615
	0.25	0.2	0.3	8.358	+0.091	-0.091	+0.479	-0.479	16.159	+0.124	-0.124	+0.6	-0.6	21.436	+0.182	-0.182	+0.686	-0.686	25.336	+0.211	-0.211	+0.722	-0.722	30.725	+0.256	-0.256	+0.875	-0.875	36.64	+0.331	-0.331	+1.009	-1.009	43.224	+0.46	-0.46	+1.188	-1.188	54.621	+0.481	-0.481	+1.637	-1.637
	0.35	0.3	0.4	8.415	+0.091	-0.091	+0.486	-0.486	16.266	+0.124	-0.124	+0.613	-0.613	21.508	+0.183	-0.183	+0.701	-0.701	25.48	+0.213	-0.213	+0.743	-0.743	30.727	+0.255	-0.255	+0.895	-0.895	36.587	+0.33	-0.33	+1.032	-1.032	43.258	+0.459	-0.459	+1.219	-1.219	54.44	+0.483	-0.483	+1.675	-1.675
	0.45	0.4	0.5	8.473	+0.092	-0.092	+0.492	-0.492	16.337	+0.125	-0.125	+0.621	-0.621	21.642	+0.184	-0.184	+0.714	-0.714	25.575	+0.213	-0.213	+0.756	-0.756	30.705	+0.255	-0.255	+0.908	-0.908	36.375	+0.328	-0.328	+1.042	-1.042	43.009	+0.457	-0.457	+1.231	-1.231	54.457	+0.48	-0.48	+1.704	-1.704
